ID,Razón Social,RUT / CUIT,Operación,Categoría Principal,Total Envíos,Total Camiones,Flete Total USD,Promedio USD/Camión,Último Envío
2533,THE NOT COMPANY SPA,76226576-1,IMPO,Otros,3,3,2400.01,800.00,2025-12-05
2529,GOLDEN OMEGA S.A.,76044336-0,IMPO,Otros,3,3,2010.00,670.00,2026-01-19
2720,ALIMENTOS TODOS LOS SANTOS SPA,76492052-K,IMPO,Yerba y infusiones,3,3,5900.00,1966.67,2025-04-22
2740,NEUM.Y LLANTAS DEL PACIFICO S.,77435230-9,IMPO,Otros,3,3,3415.33,1138.44,2025-11-14
2764,PRINAL LIMITADA,83877600-0,IMPO,Otros,3,3,9910.00,3303.33,2025-11-26
2770,AEB ANDINA S.A.,76034236-K,IMPO,Yerba y infusiones,3,3,2500.01,833.34,2025-10-06
2505,MAQ.Y H.BLACK  DECKER DE CHILE,93912000-9,IMPO,Otros,3,3,3299.99,1100.00,2025-04-25
2495,FARMACEUTICA MEDCELL LTDA,96706320-7,IMPO,Azúcar y dulces,3,3,5415.00,1805.00,2025-06-30
2488,MAN.ELECT.B.Y P. LTDA.,85969100-5,IMPO,Otros,3,3,3949.99,1316.66,2025-12-16
2482,VENTAS TECNICAS LIMITADA,95707000-0,IMPO,Químicos industriales,3,3,12900.01,4300.00,2026-01-29
2816,CINTAC S.A.I.C.,76721910-5,IMPO,Plásticos y polímeros,2,3,8000.00,2666.67,2025-12-03
2819,WASSER LTDA,76289980-9,IMPO,Vidrio y cerámica,3,3,6700.00,2233.33,2025-11-28
2469,LESAFFRE INDUSTRIAL CHILE SA,78382760-3,IMPO,Otros,3,3,6310.63,2103.54,2026-01-23
2836,AGRIC.SAN JOSE DE PERALILLO S.,96655110-0,IMPO,Otros,3,3,1700.00,566.67,2025-10-15
2843,SILVESTRES S.A.,76860310-3,IMPO,Frutas y verduras,2,3,3500.00,1166.67,2025-02-11
2463,MOLY COP CHILE S A,92244000-K,IMPO,Otros,3,3,7944.00,2648.00,2025-12-24
2855,HEXAPACK SOCIEDAD ANÃÂÂÂNIMA,76079025-7,IMPO,Otros,3,3,4199.99,1400.00,2026-01-28
2871,QUIMICA INDUSTRIAL SPES S A,93654000-7,IMPO,Aceites y grasas,1,3,4930.00,1643.33,2025-04-22
